Título,Fecha,URL_PDF
Climate Cooperation Disparities: An Analysis of the Global South’s Limited Participation in Intergovernmental Cooperation on Climate Change Mitigation,"July 9, 2024",https://files.wri.org/d8/s3fs-public/2024-07/climate-cooperation-disparities.pdf?VersionId=SuKItdUBb5DHOOqS6S3sduwlMPCrZlIa
"Techno-Economic Feasibility Analysis of Zero-Emission Trucks in Urban and Regional Delivery Use Cases: A Case Study of Guangdong Province, China","June 28, 2024",https://files.wri.org/d8/s3fs-public/2024-06/zet-promotion-in-china-en.pdf?VersionId=QkcEhnUfwTS1zdMtn.XDEf9NE0Lp.zph
"Faith-Based Participation in Natural-Resource Governance: Communities Defending Life and Territories in Brazil, Colombia, and Mexico","June 27, 2024",https://files.wri.org/d8/s3fs-public/2024-06/faith-based-participation-natural-resource-governance.pdf?VersionId=5U9tPo4Ob0z4Is.2wmugUaWy3HfwNRe_
Financing Clean Energy Technologies in SMEs in India,"June 26, 2024",https://files.wri.org/d8/s3fs-public/2024-06/financing-clean-energy-technologies-in-smes-in-india.pdf?VersionId=XYQNL7leIJ4Qivx.HnvzDxIfjybCBMPm
Analyzing the Policy Landscape for Supporting the Clean Energy Transition in Small and Medium Enterprises in India,"June 26, 2024",https://files.wri.org/d8/s3fs-public/2024-06/analyzing-policy-landscape-supporting-clean-energy-transition-small-medium-enterprises-india.pdf?VersionId=6q1U4UfWFGbfio6mOL_e6yKKjlhYiVB8
Shared mobility and a sustainable transport future in Latin American cities,"June 13, 2024",https://files.wri.org/d8/s3fs-public/2024-06/shared-mobility-sustainable-transport-future-latin-american-cities.pdf?VersionId=SLjaOsowszk63icRclPwq5yUwxFcKDpd
"Measurement, Reporting, and Verification for Novel Carbon Dioxide Removal in US Federal Policy","June 13, 2024",https://files.wri.org/d8/s3fs-public/2024-06/measurement-reporting-and-verification-novel-carbon-dioxide-removal.pdf?VersionId=4.BGto1xDgJ05SPj6pfHAZ97cZNB_N55
EAE Scenarios for Clean Energy Solution Providers in Tanzania,"May 31, 2024",https://files.wri.org/d8/s3fs-public/2024-05/eae-scenarios-clean-energy-solution-providers-tanzania.pdf?VersionId=4Utm3QYCxZSdw.PXL87rb9UTVwJ2tXhh
The Restoration Launchpad: A Step-by-Step Guide for Restoration Planners and Practitioners,"May 16, 2024",https://files.wri.org/d8/s3fs-public/2024-05/restoration-launchpad-guidebook_0.pdf?VersionId=_wNs9Y17XyLKsXJudmRQJ2PHsfBlVqmz
Scaling productive use of renewable energy (PURE) in the smallholder agriculture sector in Sub-Saharan Africa (SSA),"May 9, 2024",https://files.wri.org/d8/s3fs-public/2024-05/scaling-productive-use-renewable-energy-pure-smallholder-agriculture-sector-sub-saharan.pdf?VersionId=2A8H.w4duJ1d9F11BPJm0DslEDWkVFSh
The Food Service Playbook for Promoting Sustainable Food Choices,"May 7, 2024",https://files.wri.org/d8/s3fs-public/2024-05/food-service-playbook-promoting-sustainable-food-choices-1.1.pdf?VersionId=hiqMAUWhYEEPKDEmlb3IuAZAklOXUwY5
Climate Watch Country Greenhouse Gas Emissions Data and Methodology,"May 1, 2024",https://files.wri.org/d8/s3fs-public/2024-05/climate-watch-country-greenhouse-gas-emissions-data-methodology.pdf?VersionId=1geU96keSmqZlUjv41FNGB4CLpHQbruN
Resources for Defossilized Chemical Production in the United States,"April 17, 2024",https://files.wri.org/d8/s3fs-public/2024-04/resources-defossilized-chemical-production-united-states.pdf?VersionId=S0Id4.IWDyv9o0JCBXQJVMj9xEa1BcNq
"Toward ""Better"" Meat? Aligning Meat Sourcing Strategies with Corporate Climate and Sustainability Goals","April 16, 2024",https://files.wri.org/d8/s3fs-public/2024-04/toward-better-meat_0.pdf?VersionId=ItFgDvM8QzaofUK6tvWrl_OtmK8dexFx
Global Forest Review,"April 4, 2024",
Science-based Targets for Faith: Technical Guidance Document,"March 13, 2024",https://files.wri.org/d8/s3fs-public/2024-03/science-based-targets-faith-technical-document.pdf?VersionId=cAX32Q6cyXsmrh26hZRAChXla9lBv7sh
Spatial Database of Planted Trees (SDPT Version 2.0),"March 6, 2024",https://files.wri.org/d8/s3fs-public/2024-02/spatial-database-planted-trees-sdpt-version-2.pdf?VersionId=EFUn_h_Gyf0iZO43ShKRczHDGmVCD46i
Climate Resilient Cities: Assessing Differential Vulnerability to Climate Hazards in Urban India,"February 26, 2024",https://files.wri.org/d8/s3fs-public/2024-02/climate-resilient-cities-india.pdf?VersionId=qKt6qXmGLrBCHMx3SPQ9k7rVURpZqxQ1
Did the Global COVID-19 Recovery Address Climate Adaptation and Resilience? An Analysis of Sixty-Seven Countries,"February 22, 2024",https://files.wri.org/d8/s3fs-public/2024-02/covid-19-recovery-climate-resilience.pdf?VersionId=mBbY.0CPCgaLjLumc3v6wYukglRa_M._
Cost-Benefit Analysis Tool for Deploying Solar Irrigation Pumps: The Case for Rajasthan,"February 21, 2024",https://files.wri.org/d8/s3fs-public/2024-02/cost-benefit-analysis-solar-irrigation-pumps-rajasthan.pdf?VersionId=acAyWRu47jsLtk4H_fxiVaCKGDO7.nnH
"Land Emissions and Removals Navigator (LEARN) Tool: Data Sources and Calculation Methods, Version 1.1","February 19, 2024",https://files.wri.org/d8/s3fs-public/2024-02/learn-tool-technical-note-version-1-1.pdf?VersionId=rdKq6HH1qE7qZNkMJ89WfPqVKqbA6GHi
Informing National Climate Action with the Green Economy Model: A Technical Description of the Structures and Processes,"February 14, 2024",https://files.wri.org/d8/s3fs-public/2024-02/technical-note-informing-national-climate-action-green-economy-model.pdf?VersionId=Yqx4MwIJ4Oq5dunKh7uXlEkWoFgVyHdC
Evaluating the Financial Future of Electric Utilities Using Scenarios Analysis: The Case of Tamil Nadu,"January 22, 2024",https://files.wri.org/d8/s3fs-public/2024-01/evaluating-financial-future-electric-utilities-tamil-nadu.pdf?VersionId=HOIhAPqV0Ji63Khub_oOuB6EkQIeH.6_
Strengthening Adoption of Electricity Markets to Enable the Clean Energy Transition in Indian States,"January 22, 2024",https://files.wri.org/d8/s3fs-public/2024-01/strengthening-adoption-electricity-markets-clean-energy-india.pdf?VersionId=GZGiMfsNWmuN0rPCVhnQ82aalAxUWS5Y
Dataset of U.S. School Bus Depots,"January 4, 2024",https://files.wri.org/d8/s3fs-public/2024-01/dataset-us-school-bus-depots-technical-note.pdf?VersionId=G.EOXUFPu13c_8_cmW75lLxAuAmU2bIy
Mapping Cocoa and Assessing Deforestation Risk for the Cocoa Sector in Côte d’Ivoire and Ghana,"December 11, 2023",https://files.wri.org/d8/s3fs-public/2023-12/mapping-cocoa-assessing-deforestation-risk-ghana.pdf?VersionId=sT0HWefiGZf7UXTKhuZ.Ra644cXOlLl5
Timber Traceability: A Diagnostic Tool for Practitioners and Policymakers,"December 8, 2023",https://files.wri.org/d8/s3fs-public/2023-12/timber-traceability-diagnostic-tool-practitioners-policymakers.pdf?VersionId=1BvFDrzXyp9oO9mfEjxKhp6vCZ9NJx.v
"Visioning to Implementation: National Transport Decarbonization Policies That Match Climate Targets in China, India, and Vietnam","December 4, 2023",https://files.wri.org/d8/s3fs-public/2024-01/visioning-to-implementation-executive-summary.pdf?VersionId=Oab.tLPmU7N9sGdy6cRYAkWL7XHBxIwZ
Meeting the Reliability Challenges of the Clean Energy Transition,"November 30, 2023",https://files.wri.org/d8/s3fs-public/2023-11/meeting-reliability-challenge-clean-energy-transition.pdf?VersionId=QQUzwR8bJjayDF6jQEii296gB.T35u0n
Estimating Future Local Climate Hazard Probabilities,"November 28, 2023",https://files.wri.org/d8/s3fs-public/2024-04/Estimating%20Future%20Local%20Climate%20Hazard%20Probabilities%20%28Version%202.1%29.pdf?VersionId=Qzmb8ZPQjJf0Eugcs4p5N8Da2KXqkJrQ
Untangling the Finance Goal: An Introduction to the New Collective Quantified Goal,"November 16, 2023",https://files.wri.org/d8/s3fs-public/2023-11/untangling-finance-goal.pdf?VersionId=iATffeoMVpkASOMvmqyj2SGg1NVWqYIA
State of Climate Action 2023,"November 14, 2023",https://files.wri.org/d8/s3fs-public/2023-11/state-climate-action-2023.pdf?VersionId=zplrpy6BsmfRn2y3kSB0BFdfwAaTzXsM
Methodology Underpinning the State of Climate Action Series: 2023 Update,"November 14, 2023",https://files.wri.org/d8/s3fs-public/2023-11/state-climate-action-2023-methodology.pdf?VersionId=ktDG0e2IeC_dXekP3QK685fFlECqikzi
Uprooting Entrenched Gender Biases in Climate-Smart Agriculture,"November 6, 2023",https://files.wri.org/d8/s3fs-public/2023-11/uprooting-entrenched-gender-biases-climate-smart-agriculture.pdf?VersionId=QUeHqsD9XHRgnGCkFSZaAjVVbOfnnxIh
Why Gender-Responsive Agricultural Adaptation Is Underfunded,"November 6, 2023",https://files.wri.org/d8/s3fs-public/2023-11/gender-responsive-agricultural-adaptation.pdf?VersionId=lPLg_A07x_hdaZEnr_ZyKT6J2qUHkhhj
"Ethiopia’s Path to Net Zero and Climate-Resilient Development: Policies, Costs, and Co-benefits","October 30, 2023",https://files.wri.org/d8/s3fs-public/2023-10/ethiopias-path-net-zero-climate-resilient-development.pdf?VersionId=JM1fYqCoDzBRc2xqwF4r5NHsIBsG8T0A
"The Escazú Agreement: Seeking Rights to Information, Participation, and Justice for the Most Vulnerable in Latin America and the Caribbean","October 27, 2023",https://files.wri.org/d8/s3fs-public/2023-12/escazu-agreement_0.pdf?VersionId=giHFi6fpPvKqyOVMZmWw8D7nU9mtlcnM
A Spoonful of Solar to Help the Medicine Go Down: Exploring Synergies Between Health Care and Energy,"October 26, 2023",
Traceability and Transparency in Supply Chains for Agricultural and Forest Commodities,"October 19, 2023",https://files.wri.org/d8/s3fs-public/2023-10/traceability-transparency-supply-chains.pdf?VersionId=3HZoYFHW6eQ7CZ7DEDurlJoeJRzg9gsK
A Review of Intergovernmental Cooperation on the Mitigation of Climate Change,"October 18, 2023",https://files.wri.org/d8/s3fs-public/2023-10/review-intergovernmental-cooperation-mitigation-climate-change.pdf?VersionId=gToTGs_WJVmS7fMlpf1I04TyXh0opa3D
Assessing low-carbon strategies of local governments through the lens of climate policy coverage,"September 20, 2023",https://files.wri.org/d8/s3fs-public/2025-02/assessing-low-carbon-strategies-local-governments-lens-climate-policy-coverage.pdf?VersionId=JmXVy8PprSWGsdqntLTUGbNGKt2iDWhk
Exploring Technologies for the Clean  Energy Transition of Tamil Nadu,"September 20, 2023",https://files.wri.org/d8/s3fs-public/2023-09/explororing-technologies-clean-energy-transition-tamil-nadu-india.pdf?VersionId=UhuyZm28iICaBMgd7MgrlUoqGDGmsje7
Emissions and Environmental Surveys With Faith Actors: A Pilot Project With the Episcopal Church in the Philippines,"September 8, 2023",https://files.wri.org/d8/s3fs-public/2023-09/emissions-environmental-surveys-episcopal-church-philippines.pdf?VersionId=05rsjwQBNiW4lgLaR.oyYZhces6LJesI
Elements for the First Global Stocktake Outcome,"September 8, 2023",https://files.wri.org/d8/s3fs-public/2023-09/elements-first-global-stocktake-outcome.pdf?VersionId=uSbVwJTeNqwPS3dC30mR7_LBnT0H1Vid
A Path Across the Rift: Informing African Energy Transitions by Unearthing Critical Questions and Data Needs,"September 5, 2023",https://files.wri.org/d8/s3fs-public/2023-08/path-across-the-rift-africa-energy-transitions-en.pdf?VersionId=vvShpJWswVBZVQNlvC7OpZqjiWVejsLg
"International Governance of Technological Carbon Removal: Surfacing Questions, Exploring Solutions","August 29, 2023",https://files.wri.org/d8/s3fs-public/2023-08/international-carbon-removal-governance.pdf?VersionId=zPPNqRqTuljRc7Z7jtlaIoIqLq1jW2NZ
AgriAdapt: Strategies for Participatory Design and Development of a Climate Risk Tool,"August 28, 2023",https://files.wri.org/d8/s3fs-public/2023-08/agriadapt-strategies-participatory-design-development-climate-risk-tool.pdf?VersionId=f1ZfXD21K3SC2gNg1JFUGOn9pCgt6qrd
Mapping the Impacts of Solar Water Pumps on Farmers’ Lives: Building a Results Framework for Components A and C of Pradhan Mantri Kisan Urja Suraksha Evam Utthaan Mahabhiyan (PM Kusum),"August 28, 2023",https://files.wri.org/d8/s3fs-public/2023-08/mapping-impacts-solar-water-pumps-farmers-lives.pdf?VersionId=PuduIuJDGw1MO4gCe2zqmEnRrLetTOEO
"Long-term Climate Compatible Growth for India: Modeling Low-carbon Pathways and Policies for India’s Power, Industry, and Transport Sectors","August 17, 2023",https://files.wri.org/d8/s3fs-public/2023-08/long-term-climate-compatible-growth-india.pdf?VersionId=MpSRUnp3P97WF6L_qJ.aslE.9AOhruIe
Incorporating Natural Infrastructure in Bogotá’s Water System,"August 16, 2023",https://files.wri.org/d8/s3fs-public/2023-08/incorporating-natural-infrastructure-bogota-water-eng.pdf?VersionId=JsPVe9pAPrGGAnFd1_jzSZtG.Ii8G6dr
Aqueduct 4.0: Updated Decision-Relevant Global Water Risk Indicators,"August 16, 2023",https://files.wri.org/d8/s3fs-public/2023-08/aqueduct-40-technical-note.pdf?VersionId=G_TxTR2LAnlgXGzy7xtdUP_5lmkXJY7d
Enabling EV Battery Reuse and Recycling in India,"August 10, 2023",https://files.wri.org/d8/s3fs-public/2023-08/enabling-ev-battery-reuse-india.pdf?VersionId=ypXAtiRxOiTG5M17cGteUDJKPzWjYqJx
"Untapped Potential: The Role of Local Governments in Locally Led Adaptation. Experiences from the Local Climate Adaptive Living Facility (LoCAL) in Niger, Lesotho, and Cambodia","August 10, 2023",https://files.wri.org/d8/s3fs-public/2023-08/Untapped%20Potential%20-%20final.pdf?VersionId=P2pkMyT5B7yDJu68_JxlnTAUb1zT72nk
Electric School Bus Initiative Advocacy Stakeholder Analysis: A Baseline Report,"August 7, 2023",https://files.wri.org/d8/s3fs-public/2023-08/electric-school-bus-stakeholder-analysis.pdf?VersionId=CrSS0nKnan7_l5vJpD7GUbA33U20dy4B
Mobilizing Private Investment in Climate Solutions: De-risking Strategies of Multilateral Development Banks,"July 24, 2023",https://files.wri.org/d8/s3fs-public/2023-07/mobilizing-private-investment-climate-solutions.pdf?VersionId=eP7TinOgdXimK859xF2Flj_utYKachIT
Electric School Bus U.S. Market Study and Buyer’s Guide: A Resource for School Bus Operators Pursuing Fleet Electrification,"July 24, 2023",https://files.wri.org/d8/s3fs-public/2024-08/electric-school-bus-market-study_0.pdf
The Global Land Squeeze: Managing the Growing Competition for Land,"July 20, 2023",https://files.wri.org/d8/s3fs-public/2023-07/the-global-land-squeeze-report.pdf?VersionId=edANDGIvq_NhCGbDVfte6diBdJswo7e9
Morphology of Delhi National Capital Region’s Economic Geography and Its Implications for Planning,"July 18, 2023",https://files.wri.org/d8/s3fs-public/2023-08/morphology-delhi-region-economic-geography-report.pdf?VersionId=8GZtdjIwHO4zkbzw5TKMUsqaTWfyxZ7G
Public Bicycle Sharing in India: Lessons Learned from Implementation in Three Cities,"July 17, 2023",https://files.wri.org/d8/s3fs-public/2023-07/public-bicycle-sharing-india-lessons-learned.pdf?VersionId=4gc.kiqSvW1S0CAjX8Nfh.d7XHJ2gaem
Leveraging Carbon Markets for Cost-Efficient Emissions Reductions in India: Practical Recommendations for the Design and Implementation of an Effective Carbon Market,"July 14, 2023",https://files.wri.org/d8/s3fs-public/2023-07/leveraging-carbon-markets-india.pdf?VersionId=fk7zHIymTHHJ0vYDR29wXEHdcslLe1L6
Using a Deep Learning Framework to Forecast Reservoir Water Availability in India,"July 14, 2023",https://files.wri.org/d8/s3fs-public/2023-08/deep-learning-framework-reservoir-water-availability-india.pdf?VersionId=Y53BzfX_qS6HMO2.THQ8UBtyBrSiC9LK
Our Journey with the City: Deciphering WRI India Ross Center’s Influence in Bengaluru,"July 10, 2023",https://files.wri.org/d8/s3fs-public/2023-11/our-journey-city-deciphering-wri-india-ross-centers-influence-bengaluru.pdf?VersionId=9IXJ8O7PNPqOAMQjBt1HXFUL67TaIsWq
Exploring WRI Ross Center’s Experience in Mexico City: A Deep City-Level Engagement Approach,"July 10, 2023",https://files.wri.org/d8/s3fs-public/2023-07/mexico-city-ross-center-deep-dive.pdf?VersionId=sHL7Fo.Bin2oxmhPSRkjtQrKPSdpr_9X
Enabling Women as Key Actors in Nature-based Solutions,"July 5, 2023",https://files.wri.org/d8/s3fs-public/2023-07/enabling-rural-women-key-actors-nature-based-solutions.pdf?VersionId=MzTSxu_C2szII1eAmctz3fS66VkfTuwN
Understanding Global Hydrogen Strategies: Strengthening Clean Hydrogen Opportunities,"July 5, 2023",https://files.wri.org/d8/s3fs-public/2023-07/understanding-global-hydrogen-strategies-india.pdf?VersionId=ZMRahw3_LdeayBZmeIYDGX6TvRfw2el_
Realizing Net-Zero Emissions: Good Practices in Countries,"June 29, 2023",https://files.wri.org/d8/s3fs-public/2023-06/realizing-net-zero-emissions-best-practices.pdf?VersionId=MjccuEt5_wUvSw_zDy5jGq2STW5uQ..C
Macroeconomic Impacts of Long-Term Decarbonization in India: Implications for a Just Transition,"June 29, 2023",https://files.wri.org/d8/s3fs-public/2023-06/macroeconomic-impacts-long-term-decarbonization-india.pdf?VersionId=NI8o7vXMp61UDTNCe15bSeEo7mG45DgL
Strengthening Gender Equity in Locally Led Adaptation Processes in Africa,"June 21, 2023",https://files.wri.org/d8/s3fs-public/2023-06/strengthening-gender-equity-locally-led-adaptation-processes-africa.pdf?VersionId=GI0Rkr1Z1311HHu05R3eR7KcBw2IgkGf
New Economy for the Brazilian Amazon,"June 17, 2023",https://files.wri.org/d8/s3fs-public/2023-06/new-economy-brazil-amazon-executive-summary-english.pdf?VersionId=31LYqZN2z_BRL7xZM5ZPLM2RTARo6D54
Complete Streets in Brazil - Promoting a Paradigm Shift,"June 12, 2023",https://files.wri.org/d8/s3fs-public/2023-06/wri-brasil-complete-streets-in-brazil-2023.pdf?VersionId=DvmLNtTN7HCpz7WQ2zq7FPTukvk.UC9B
A GIS-Based Demand Assessment Methodology To Estimate Electricity Requirements for Health Care Facilities: A Case Study for Uganda,"May 30, 2023",https://files.wri.org/d8/s3fs-public/2023-05/gis-assessment-electricity-healthcare-uganda.pdf?VersionId=CvaqZlTncEX94WxIUh.DEzpgjtC6D_A5
Assessing the Viability of Using Autorickshaws for Urban Freight Delivery in India,"May 23, 2023",https://files.wri.org/d8/s3fs-public/2023-05/assessing-viability-autorickshaws-urban-freight-delivery-india.pdf?VersionId=XxfKFFQzvNWOXrb_6WkDZe_YR5fVBPHA
Setting Enterprise Targets: Modeling Downstream Water Use and Consumption,"May 16, 2023",https://files.wri.org/d8/s3fs-public/2023-05/setting-enterprise-targets-modeling-downstream-water-use-consumption.pdf?VersionId=CluvOwMIh96cPRjT33o3G7LDWLMCZSBS
Developing an Electric Mobility Roadmap for Vietnam: Global Experiences From National Case Studies,"May 15, 2023",https://files.wri.org/d8/s3fs-public/2023-05/developing-electric-mobility-roadmap-vietnam.pdf?VersionId=JRV9mdHmQTdw0qIeux7TJt4JUP5zp1.H
A Roadmap for Michigan’s EV Future: An Assessment of the Employment Effects and Just Transition Needs,"May 4, 2023",https://files.wri.org/d8/s3fs-public/2023-05/roadmap-michigan-ev-future.pdf?VersionId=v0C1QYM5LrUtDymSBYzR_PGHpKMUmRju
"Opportunities To Achieve Healthy, Sustainable Food Choices in China Through Behavior Change","May 1, 2023",https://files.wri.org/d8/s3fs-public/2023-05/healthy-sustainable-food-choices-china.pdf?VersionId=.556OlwHC9UMHxCwyg7hj9HNrLmYrGZR
Decarbonisation Pathways and How Finance Can Accelerate the Business Transition to a Low-carbon Economy in the Guangdong–Hong Kong–Macao Greater Bay Area,"April 26, 2023",https://files.wri.org/d8/s3fs-public/2023-06/decarbonization-pathways-cn-executive-summary.pdf?VersionId=cwlZaJ39RdfgE3bI_wzvY7rX8qObJ1Ot
Assessing the Environmental Impact of Shared Micromobility Services: A Guide for Cities,"April 25, 2023",https://files.wri.org/d8/s3fs-public/2023-05/numo-environmental-impact-shared-micromobility-services.pdf?VersionId=geK.cmJp7.ttkIFP_xgPUuco8DzlHhsZ
A Summary of Expert Perspectives on Viable Financing Pathways for Electrifying India’s Public Transport,"April 14, 2023",https://files.wri.org/d8/s3fs-public/2023-04/conference-proceedings-ev-india.pdf?VersionId=hcH9CTGfVCrt9bcRmoUkf7e0Bg8NwMtq
Financial Analysis of Charging Station (FACt)- a Tool for Easy Financial Evaluation of Public Charging Infrastructure Deployment in India,"April 4, 2023",https://files.wri.org/d8/s3fs-public/2023-04/financial-analysis-charging-station-wri-india.pdf?VersionId=dTwFC6yYQVwFiin6b1SGgg5UpLVZq3iN
"Decarbonizing India’s Road Freight: Toward A Cleaner, Greener, and Electric Future for Commercial Vehicles","January 31, 2023",https://files.wri.org/d8/s3fs-public/2023-02/decarbonizing-indias-road-freight.pdf?VersionId=6QPGWAOBpBIZQjElc2LbmT6_SkdecmPh
Changing the Demand Preference for Electric Vehicles in Ho Chi Minh City: Costs and Benefits From Incentives in the Early Stages of Adoption,"January 31, 2023",https://files.wri.org/d8/s3fs-public/2023-02/changing-demand-electric-vehicles-ho-chi-minh-city.pdf?VersionId=2DUl6RwHbULBUNonMN2nyUaVlzsooxzl
Clean Hydrogen: Outlook for Freight Transport in the United States,"January 31, 2023",https://files.wri.org/d8/s3fs-public/2023-02/clean-hydrogen-outlook-freight-transport-united-states.pdf?VersionId=K21WRwCtHhs4Rh6irbL8MgYQRbEZrfJ1
Equity Framework to Guide the Electric School Bus Initiative,"January 27, 2023",https://files.wri.org/d8/s3fs-public/2023-01/equity-framework-electric-school-bus-initiative.pdf?VersionId=fUNzxNRWlodadxN8apDqhzpeknjG7peX
Just Transitions in the Oil and Gas Sector: Considerations for Addressing Impacts on Workers and Communities in Middle-Income Countries,"January 26, 2023",https://files.wri.org/d8/s3fs-public/2023-01/just-transitions-oil-gas-sector.pdf?VersionId=jZEr3RLHhUaUJmLXAy3Jho71hZ2scfqQ
Forest Footprint for Cities: Methods for Estimating Deforestation and Associated CO2 Emissions Embodied in Products Consumed in Cities,"January 17, 2023",https://files.wri.org/d8/s3fs-public/2023-01/forest-footprint-for-cities_0.pdf?VersionId=ZY6DcCqAUoijY5olHPwPhtfNoNeVg5bK
Pathways To Impact: Collaborating Toward an Energy Access Framework,"January 16, 2023",https://files.wri.org/d8/s3fs-public/2023-01/pathways-to-impact-collaborating-toward-energy-access-framework.pdf?VersionId=3OCXd6.1Siy1zDP1vInWNNGy76bCu7kO
Toward Credible Transport Carbon Dioxide Emissions Accounting in China,"December 23, 2022",https://files.wri.org/d8/s3fs-public/2023-01/toward-credible-transport-co2-emissions-accounting-china.pdf?VersionId=9MUbUJTjT7f3HfeYIDPGgmOt32b_qMEi
Technical Note for a Dataset of U.S. School Bus Fleets,"December 23, 2022",https://files.wri.org/d8/s3fs-public/2024-06/technical-note-dataset-us-school-bus-fleets-2.pdf?VersionId=Y8UHY9Vfkb5myrpEtMRKFRI1O1LCZofV
Urban Blue-Green Conundrum: A 10-City Study on the Impacts of Urbanization on Natural Infrastructure in India,"December 19, 2022",https://files.wri.org/d8/s3fs-public/2022-12/urban-blue-green-conundrum-wri-india.pdf?VersionId=xLTYN2t0OhUfitJpffYCDj9NxCuNL9uf
Physically Fit? How Financial Institutions Can Better Disclose Climate-Related Physical Risks in Line with the Recommendations of the TCFD,"December 5, 2022",https://files.wri.org/d8/s3fs-public/2022-12/physically-fit-financial-institutions-disclose-climate-related-physical-risks-tcfd.pdf?VersionId=zOMaSttQQs.hDbNNIOpxrXJS85UHPlbf
Smart Charging and Consumer Behavior in the United States,"November 30, 2022",https://files.wri.org/d8/s3fs-public/2022-11/smart-charging-consumer-behavior-united-states.pdf?VersionId=UzeTO2U7i4PHJmSDFjRFg5qfGinxVf2f
Multi-Stakeholder Consultations on Sustainable Urban and Peri-urban Agriculture in India,"November 30, 2022",https://files.wri.org/d8/s3fs-public/2023-07/supa-bangalore-conference-proceedings.pdf?VersionId=OHI3BCea9azeeTA0slTV.aGy35PN8kGD
"Better Forests, Better Cities","November 29, 2022",https://files.wri.org/d8/s3fs-public/2022-11/better-forests-better-cities-report.pdf?VersionId=rHfwZa_27N8MsviLakrokjmqI2EjpTZt
Co-Creating Pathways to Reduce Food Losses in the Tomato Supply Chain in Madhya Pradesh a Multi-Stakeholder Consultation,"November 18, 2022",https://files.wri.org/d8/s3fs-public/2024-01/co-creating-pathways-tomato-supply-chain-madhya-pradesh.pdf?VersionId=AOiav_4u3RL0iKvKhoBOm_PpmfFCBUIS
Flood Risk in Mumbai – Consultative Stakeholder Workshop,"November 16, 2022",https://files.wri.org/d8/s3fs-public/2022-11/flood-workshop-conference-proceedings-wri-india.pdf?VersionId=sPRdeoWsPQZ8vU_5CEpcnWIKbGBNuvuK
Toward Responsible and Informed Ocean-Based Carbon Dioxide Removal: Research and Governance Priorities,"November 15, 2022",https://files.wri.org/d8/s3fs-public/2022-11/towards-responsible-and-informed-ocean-based-carbon-dioxide-removal.pdf?VersionId=BfTFvyudHQBj5CSRRlHg1PDZX84M7Qt.
Zero-Emission Delivery Zones: Decarbonizing Urban Freight and Goods Delivery in U.S. Cities,"November 14, 2022",https://files.wri.org/d8/s3fs-public/2022-11/zero-emission-delivery-zones.pdf?VersionId=ULdVbUJL_Alz4tTB4v.8vNEuyK9aaTdO
Analysis of Ocean-Based Climate Action in Nationally Determined Contributions,"November 11, 2022",https://files.wri.org/d8/s3fs-public/2022-11/analysis-ocean-based-climate-action-ndcs-technical-note.pdf?VersionId=Vd3BJeVlVsbsow5uetkIFRVYtD8raRV3
Ocean-Based Climate Action in New and Updated Nationally Determined Contributions,"November 9, 2022",https://files.wri.org/d8/s3fs-public/2022-11/ocean-based-climate-action-ndcs.pdf?VersionId=zDTcLITGIc5.sIWS7YyzGFp7YkDLGt3G
Our Solar Future — Roadmap to Mobilize USD 1 Trillion by 2030,"November 9, 2022",https://files.wri.org/d8/s3fs-public/2022-11/our-solar-future.pdf?VersionId=p3X5hh6u.mHtDdpQf5VAWcozV867E2fe
"The Triple Dividend of Building Climate Resilience: Taking Stock, Moving Forward","November 7, 2022",https://files.wri.org/d8/s3fs-public/2022-11/triple-dividend-climate-finance.pdf?VersionId=eWpTL9Q41jtpDXqg98FFdF6x8V.Fyqo1
Mainstreaming Climate Change in Ethiopia’s Planning Process,"November 4, 2022",https://files.wri.org/d8/s3fs-public/2022-11/mainstreaming-climate-change-ethiopias-planning-process.pdf?VersionId=FiyZ65WLbDQEXg.4CpaokiVbob7Jut81
Nature-Based Solutions in Sub-Saharan Africa for Climate and Water Resilience,"November 3, 2022",https://files.wri.org/d8/s3fs-public/2022-11/nature-based-solutions-sub-saharan-africa-climate-water-resilience.pdf?VersionId=59djiV9PRGZlsPEdGvdNvYZLj1MmIAsz
Paying for the Paris Agreement: A Primer on Government Options for Financing Nationally Determined Contributions,"November 3, 2022",https://files.wri.org/d8/s3fs-public/2022-11/paying-paris-agreement.pdf?VersionId=Yc.idZ6NMkKMpH42RKGfmZqU.2qOSf23
Aggregating the Impacts of Non-State and Subnational Climate Actions: An Exploration of Methods,"October 31, 2022",https://files.wri.org/d8/s3fs-public/2022-10/working-paper-aggregating-impacts-non-state-and-subnational-climate-actions.pdf?VersionId=ctc4bBO2Ll5G8o0KIbHYxw3EdzywEdtI
Methodology Underpinning the State of Climate Action Series,"October 26, 2022",https://files.wri.org/d8/s3fs-public/2022-10/methodology-underpinning-state-climate-action-series.pdf?VersionId=UWBSBboM14OaJIg.zDZTVeCsKBv3m3KV
State of Climate Action 2022,"October 26, 2022",https://files.wri.org/d8/s3fs-public/2022-10/state-of-climate-action-2022.pdf?VersionId=sfihZTSIzbzenOLt565PlXldO2L5jTLg
Not Just Carbon: Capturing All the Benefits of Forests for Stabilizing the Climate from Local to Global Scales,"October 24, 2022",https://files.wri.org/d8/s3fs-public/2022-10/not-just-carbon.pdf?VersionId=wAMy6XqQlQ.XlvkpFEfhIrMuVIgnBeQ.
